31303,31334,31.7,44.0
31367,31335,0.0,0.0
31383,31335,0.0,0.0
31383,31335,0.0,0.0
31383,31336,0.0,0.0
31351,31336,0.0,0.0
31287,31336,49.1,68.2
31383,31336,0.0,0.0
31383,31337,0.0,0.0
31447,31338,0.0,0.0
31383,31338,0.0,0.0
31367,31338,0.0,0.0
31415,31339,0.0,0.0
31335,31339,4.6,6.3
31431,31340,0.0,0.0
31303,31340,37.1,51.6
31287,31339,52.6,73.1
31367,31339,0.0,0.0
31367,31340,0.0,0.0
31399,31340,0.0,0.0
31319,31340,21.5,29.9
31287,31339,53.0,73.6
31415,31340,0.0,0.0
31335,31340,5.7,7.9
31415,31341,0.0,0.0
31303,31341,38.0,52.8
31351,31341,0.0,0.0
31367,31341,0.0,0.0
31367,31341,0.0,0.0
31367,31341,0.0,0.0
31287,31341,54.3,75.5
31367,31341,0.0,0.0
31319,31341,22.4,31.1
31399,31341,0.0,0.0
31399,31342,0.0,0.0
31335,31342,7.4,10.3
31303,31342,39.0,54.3
31367,31342,0.0,0.0
31335,31342,7.2,10.0
31383,31342,0.0,0.0
31335,31342,7.6,10.5
31367,31342,0.0,0.0
31303,31342,39.4,54.8
31319,31342,23.2,32.2
31399,31342,0.0,0.0
31367,31342,0.0,0.0
31415,31343,0.0,0.0
31351,31343,0.0,0.0
31335,31343,8.7,12.1
31367,31343,0.0,0.0
31383,31344,0.0,0.0
31367,31344,0.0,0.0
31383,31344,0.0,0.0
31319,31344,25.7,35.7
31431,31345,0.0,0.0
31319,31345,26.3,36.5
31367,31345,0.0,0.0
31495,31346,0.0,0.0
31431,31347,0.0,0.0
31463,31348,0.0,0.0
31431,31349,0.0,0.0
31463,31350,0.0,0.0
31447,31351,0.0,0.0
31431,31352,0.0,0.0
31431,31353,0.0,0.0
31495,31354,0.0,0.0
31399,31355,0.0,0.0
31495,31356,0.0,0.0
31463,31357,0.0,0.0
31511,31359,0.0,0.0
31431,31360,0.0,0.0
31463,31361,0.0,0.0
31479,31362,0.0,0.0
31479,31363,0.0,0.0
31527,31365,0.0,0.0
31351,31364,13.9,19.3
31559,31366,0.0,0.0
31511,31368,0.0,0.0
31447,31369,0.0,0.0
31447,31369,0.0,0.0
31511,31371,0.0,0.0
31511,31372,0.0,0.0
31495,31373,0.0,0.0
31511,31375,0.0,0.0
31559,31377,0.0,0.0
31431,31377,0.0,0.0
31511,31378,0.0,0.0
31511,31380,0.0,0.0
31511,31381,0.0,0.0
31447,31382,0.0,0.0
31511,31383,0.0,0.0
31463,31384,0.0,0.0
31415,31384,0.0,0.0
31479,31385,0.0,0.0
31415,31385,0.0,0.0
31511,31387,0.0,0.0
31463,31387,0.0,0.0
31575,31389,0.0,0.0
31479,31390,0.0,0.0
31479,31391,0.0,0.0
31367,31391,24.3,33.8
31447,31391,0.0,0.0
31527,31393,0.0,0.0
31479,31394,0.0,0.0
31479,31394,0.0,0.0
31527,31396,0.0,0.0
31591,31398,0.0,0.0
31415,31398,0.0,0.0
31543,31399,0.0,0.0
31447,31400,0.0,0.0
31463,31400,0.0,0.0
31383,31400,17.7,24.6
31463,31401,0.0,0.0
31463,31401,0.0,0.0
31543,31403,0.0,0.0
31415,31403,0.0,0.0
31527,31404,0.0,0.0
31543,31406,0.0,0.0
31591,31407,0.0,0.0
31463,31408,0.0,0.0
31543,31409,0.0,0.0
31447,31410,0.0,0.0
31559,31411,0.0,0.0
31463,31412,0.0,0.0
31591,31414,0.0,0.0
31399,31413,14.9,20.6
31447,31414,0.0,0.0
31415,31414,0.0,0.0
31511,31415,0.0,0.0
31463,31415,0.0,0.0
31479,31416,0.0,0.0
31463,31416,0.0,0.0
31399,31416,17.6,24.4
31527,31417,0.0,0.0
31351,31417,66.0,91.7
31559,31418,0.0,0.0
31447,31418,0.0,0.0
31479,31419,0.0,0.0
31463,31419,0.0,0.0
31543,31420,0.0,0.0
31511,31421,0.0,0.0
31383,31421,38.5,53.5
31399,31421,22.3,31.0
31415,31421,6.2,8.6
31431,31421,0.0,0.0
31607,31423,0.0,0.0
31511,31424,0.0,0.0
31399,31423,24.8,34.5
31495,31424,0.0,0.0
31559,31425,0.0,0.0
31575,31427,0.0,0.0
31511,31428,0.0,0.0
31511,31429,0.0,0.0
31479,31429,0.0,0.0
31543,31430,0.0,0.0
31431,31430,0.0,0.0
31559,31431,0.0,0.0
31671,31434,0.0,0.0
31623,31436,0.0,0.0
31479,31436,0.0,0.0
31399,31436,37.3,51.8
31447,31436,0.0,0.0
31479,31436,0.0,0.0
31559,31438,0.0,0.0
31495,31438,0.0,0.0
31511,31439,0.0,0.0
31479,31439,0.0,0.0
31431,31439,8.6,12.0
31319,31438,119.4,166.0
31383,31437,54.9,76.3
31463,31438,0.0,0.0
31463,31438,0.0,0.0
31447,31438,0.0,0.0
31543,31439,0.0,0.0
31383,31438,55.9,77.7
31479,31439,0.0,0.0
31431,31439,8.3,11.5
31495,31439,0.0,0.0
31383,31439,56.2,78.2
31511,31439,0.0,0.0
31463,31440,0.0,0.0
31335,31439,104.1,144.7
31447,31439,0.0,0.0
31463,31439,0.0,0.0
31399,31439,40.0,55.7
31479,31439,0.0,0.0
31431,31439,8.4,11.6
31447,31439,0.0,0.0
31415,31439,24.2,33.6
31431,31439,8.1,11.3
31479,31439,0.0,0.0
31415,31439,24.3,33.7
31511,31439,0.0,0.0
31415,31439,24.7,34.4
31399,31439,40.3,56.1
31367,31438,71.6,99.5
31415,31438,23.4,32.5
31527,31439,0.0,0.0
31431,31439,8.2,11.4
31351,31438,87.3,121.3
31399,31437,38.9,54.1
31431,31437,6.8,9.5
31415,31437,22.6,31.4
31335,31436,101.6,141.2
31495,31437,0.0,0.0
31335,31436,101.1,140.6
31383,31435,52.6,73.1
31431,31435,4.6,6.3
31335,31434,99.6,138.4
31447,31434,0.0,0.0
31511,31435,0.0,0.0
31351,31434,83.6,116.2
31463,31434,0.0,0.0
31415,31434,19.7,27.4
31399,31434,35.3,49.1
31431,31434,3.3,4.6
31495,31434,0.0,0.0
31431,31434,3.9,5.4
31367,31434,67.2,93.4
31367,31433,66.5,92.5
31431,31433,2.5,3.5
31399,31433,34.2,47.5
31415,31432,18.0,25.0
31495,31433,0.0,0.0
31383,31433,50.1,69.6
31335,31432,97.1,135.0
31447,31432,0.0,0.0
31399,31431,32.9,45.8
31335,31430,96.0,133.4
31479,31431,0.0,0.0
31351,31430,79.6,110.7
31335,31429,94.7,131.6
31367,31429,62.0,86.2
31431,31429,0.0,0.0
31447,31429,0.0,0.0
31367,31428,61.6,85.7
31383,31428,45.2,62.8
31463,31428,0.0,0.0
31367,31427,60.9,84.7
31415,31427,12.8,17.8
31431,31427,0.0,0.0
31431,31427,0.0,0.0
31399,31427,28.6,39.7
31399,31427,28.3,39.3
31399,31426,28.0,38.9
31431,31427,0.0,0.0
31319,31425,106.9,148.7
31367,31425,58.4,81.1
31463,31425,0.0,0.0
31415,31425,10.6,14.8
31447,31425,0.0,0.0
31463,31426,0.0,0.0
31383,31425,42.8,59.5
31415,31425,10.7,14.8
31367,31425,58.1,80.7
31463,31425,0.0,0.0
31383,31425,42.0,58.4
31399,31424,25.8,35.8
31399,31424,25.5,35.5
31319,31423,104.5,145.2
31431,31423,0.0,0.0
31415,31423,8.5,11.8
31399,31423,24.2,33.7
